date,heure_ecoute,duree,plateforme,titre_morceau,genre
2024-01-12,20:42,7,Deezer,Moonrise Live,Électro
2024-01-27,16:50,6,Spotify,Waves Remix,Classique
2024-01-22,02:01,10,Spotify,Waves I,Classique
2024-03-02,14:49,7,Spotify,Moonrise II,Électro
2024-03-10,02:39,6,Deezer,Nebula I,Classique
2024-03-06,15:46,5,Apple Music,Midnight I,Rock
2024-01-02,15:05,7,Deezer,Solstice Session,Rock
2024-02-21,22:48,5,Apple Music,Pulse Mix,Jazz
2024-03-23,15:44,6,Deezer,Fusion I,Pop
2024-03-02,09:49,4,Apple Music,Rainfall II,Reggae
2024-02-27,13:16,7,Apple Music,Galaxy Mix,Pop
2024-01-11,21:11,6,Deezer,Horizons II,Rock
2024-03-02,21:43,6,Spotify,Drift I,Jazz
2024-02-17,09:42,6,Deezer,Drift II,Reggae
2024-02-14,11:07,10,Deezer,Firelight Session,Classique
2024-02-24,20:57,9,Apple Music,Fusion Session,Pop
2024-02-06,19:29,9,Deezer,Reflections Remix,Reggae
2024-03-24,12:29,10,Apple Music,Firelight Mix,Rock
2024-01-27,05:35,7,Deezer,Origins Mix,Pop
2024-02-13,09:24,10,Spotify,Firelight Session,Pop
2024-02-07,21:22,2,Deezer,Solstice I,Classique
2024-02-20,21:31,7,Apple Music,Midnight Mix,Reggae
2024-03-18,17:21,4,Apple Music,Fusion Live,Jazz
2024-01-17,02:55,6,Spotify,Cascade Session,Hip-Hop
2024-01-07,05:04,5,Apple Music,Moonrise Mix,Pop
2024-03-14,12:05,3,Spotify,Moonrise Remix,Hip-Hop
2024-03-15,15:47,5,Apple Music,Cascade II,Rock
2024-02-19,20:15,8,Apple Music,Horizons Mix,Rock
2024-01-17,23:53,8,Spotify,Dream Mix,Électro
2024-02-16,18:47,8,Deezer,Signals Remix,Reggae
2024-01-06,09:56,9,Spotify,Solstice II,Jazz
2024-02-17,18:27,7,Deezer,Twilight Live,Classique
2024-02-07,21:13,3,Deezer,Mirage Live,Hip-Hop
2024-02-16,23:37,9,Apple Music,Nebula Live,Électro
2024-02-20,01:58,3,Apple Music,Origins Remix,Hip-Hop
2024-03-30,23:31,2,Spotify,Horizons Live,Reggae
2024-02-12,21:16,3,Spotify,Galaxy Mix,Classique
2024-03-09,14:12,7,Spotify,Breeze I,Reggae
2024-03-27,22:35,6,Spotify,Skyline I,Pop
2024-03-21,22:44,5,Deezer,Origins I,Classique
2024-01-02,19:38,2,Deezer,Pulse II,Jazz
2024-01-06,14:05,7,Deezer,Solstice II,Classique
2024-03-09,03:32,2,Apple Music,Reflections II,Électro
2024-01-10,23:22,4,Spotify,Motion Live,Classique
2024-01-30,02:20,6,Deezer,Dream Live,Reggae
2024-01-11,15:48,7,Apple Music,Pulse I,Électro
2024-02-25,06:35,8,Spotify,Mirage I,Jazz
2024-02-22,13:49,4,Apple Music,Breeze II,Classique
2024-03-04,13:32,3,Spotify,Fusion Mix,Jazz
2024-01-19,10:23,3,Deezer,Mirage Remix,Classique
2024-03-26,15:17,5,Deezer,Midnight Mix,Rock
2024-02-11,11:13,9,Deezer,Firelight I,Jazz
2024-01-01,09:55,10,Apple Music,Origins II,Hip-Hop
2024-01-02,13:07,9,Apple Music,Dream I,Pop
2024-02-10,13:07,2,Spotify,Galaxy II,Hip-Hop
2024-02-11,10:04,10,Apple Music,Fusion Live,Rock
2024-03-26,13:26,10,Apple Music,Fusion Session,Jazz
2024-02-04,16:21,10,Apple Music,Waves I,Rock
2024-03-04,11:09,9,Apple Music,Signals I,Rock
2024-02-21,12:08,4,Spotify,Fusion Mix,Électro
2024-01-26,10:55,2,Deezer,Solstice Remix,Classique
2024-01-30,14:50,8,Apple Music,Rainfall Remix,Hip-Hop
2024-01-25,19:39,5,Deezer,Skyline Remix,Jazz
2024-02-03,13:17,8,Apple Music,Motion II,Pop
2024-03-14,16:04,6,Deezer,Breeze Remix,Pop
2024-01-05,10:53,4,Deezer,Origins Remix,Jazz
2024-01-19,13:16,9,Deezer,Firelight II,Rock
2024-02-22,13:24,9,Spotify,Dream Session,Pop
2024-02-01,00:31,7,Deezer,Voyage Live,Reggae
2024-02-11,08:29,10,Apple Music,Horizons Live,Reggae
2024-03-05,14:35,3,Deezer,Waves II,Hip-Hop
2024-01-06,21:07,6,Apple Music,Drift II,Électro
2024-01-14,14:07,10,Deezer,Pulse Session,Électro
2024-03-05,19:24,8,Deezer,Rainfall Mix,Jazz
2024-03-20,13:00,3,Deezer,Solstice Mix,Pop
2024-03-10,14:49,8,Deezer,Horizons Mix,Électro
2024-03-03,05:14,9,Apple Music,Solstice Session,Reggae
2024-03-27,17:44,10,Deezer,Motion II,Reggae
2024-03-03,06:31,6,Spotify,Origins II,Rock
2024-01-06,21:13,10,Deezer,Motion Live,Rock
2024-03-20,21:10,2,Spotify,Breeze I,Classique
2024-03-01,10:58,10,Spotify,Twilight Mix,Pop
2024-03-25,08:08,9,Apple Music,Dream Live,Rock
2024-02-16,19:09,10,Apple Music,Drift I,Pop
2024-01-09,21:12,7,Apple Music,Cascade II,Jazz
2024-01-31,18:21,3,Deezer,Dream Live,Reggae
2024-01-23,07:01,7,Deezer,Origins II,Pop
2024-03-28,05:34,2,Apple Music,Mirage I,Jazz
2024-02-08,02:52,6,Spotify,Rainfall Remix,Hip-Hop
2024-01-26,15:07,5,Deezer,Horizons Remix,Hip-Hop
2024-01-30,11:29,2,Spotify,Fusion Mix,Pop
2024-03-11,03:11,10,Apple Music,Fusion Remix,Rock
2024-02-01,18:43,4,Deezer,Drift I,Hip-Hop
2024-03-09,18:59,2,Spotify,Solstice I,Classique
2024-03-12,14:15,3,Deezer,Breeze Mix,Classique
2024-03-02,21:33,8,Deezer,Rainfall I,Pop
2024-01-03,14:34,7,Deezer,Moonrise Session,Hip-Hop
2024-03-01,03:09,7,Apple Music,Pulse Live,Jazz
2024-01-30,10:30,9,Spotify,Rainfall Live,Jazz
2024-01-18,19:40,6,Spotify,Twilight Remix,Électro
2024-02-20,06:35,2,Deezer,Breeze II,Pop
2024-02-29,18:55,9,Spotify,Reflections Remix,Jazz
2024-01-18,00:05,4,Apple Music,Horizons Session,Hip-Hop
2024-02-05,17:02,2,Apple Music,Cascade Mix,Jazz
